stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150102,RCY,UK	22 	22.5 	23.7 	24.1 	24.1 	24.2 	25.2 	31.6 	37.9 	39.4 	44.9 	46.2 
DOM,PC,W150103,RCY,AT	16.9 	19.1 	21.9 	21.8 	33.7 	21.1 	21.5 	20.3 	19.9 	18.1 	17.7 	19.9 
DOM,PC,W150103,RCY,BE	63.8 	71.5 	57.9 	56.8 	63.3 	63.4 	66.1 	59 	72.2 	74.9 	80.9 	83.7 
DOM,PC,W150103,RCY,BG	0 	0 	40.6 	45.5 	53.8 	41.5 	53.1 	58.5 	37.8 	32.7 	39 	31.9 
DOM,PC,W150103,RCY,CY	23.1 	21.6 	14.9 	24.6 	8.4 	9.8 	6.2 	12 	11.5 	9.2 	10 	8.5 
DOM,PC,W150103,RCY,CZ	21.2 	37.2 	29.3 	32.9 	36.3 	27.6 	25.7 	35.6 	66.1 	68.7 	63.9 	51.2 
DOM,PC,W150103,RCY,DE	30 	30.2 	28.8 	30.8 	27.5 	30.1 	30.3 	25.5 	26.8 	25.8 	26 	25.8 
DOM,PC,W150103,RCY,DK	33.9 	32.9 	41 	86.1 	86.1 e	29.5 	40.4 	66.4 	52.5 	75.9 	87.3 	59.4 
DOM,PC,W150103,RCY,EE	17.2 	38.5 	56.7 	81 	63 	72.4 	59.7 	66.3 	62 	66.1 	32.5 	16.4 
DOM,PC,W150103,RCY,EL	58.3 	75 	30.8 	37.3 	50.1 	65.9 	41.8 	2.5 	17.4 	22 	21.9 	20.4 
DOM,PC,W150103,RCY,ES	49.8 	61 	58.2 	56 	55.7 	53.2 	57.9 	64.3 	64.3 	65.5 	67.1 	67.5 
DOM,PC,W150103,RCY,EU27_2020	34.9 s	37.8 s	34.5 s	33.6 s	35.3 s	36.6 s	37.5 	35.2 	39.3 	41.4 	40.7 	41.2 
DOM,PC,W150103,RCY,EU28	38.4 s	41.3 s	38.3 s	37.6 s	38.8 s	38.4 s	38.7 	35.9 	38.5 	40.1 	39.8 	40.3 
DOM,PC,W150103,RCY,FI	7.7 	9.8 	21.3 	20.5 	17.8 	17.7 	16.9 	15 	12.8 	12.5 	14.4 	14.5 
