unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,IE	2206558 	2523818 	976152 	3249123 	1284266 	1434386 	1662838 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,IS	49233 	: 	113313 	89696 	90962 	110664 	139690 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,IT	20035321 	20110410 	21367830 	26134378 	25480073 	26113675 	28102050 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,LI	: 	: 	25015 	27488 	23091 	15835 	18537 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,LT	1157784 	1219078 	1103438 	1124961 	903235 	1066287 	1086934 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,LU	434340 	494060 	376401 	435607 	434383 	383363 	515149 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,LV	209659 	346566 	147407 	227862 	311910 	331184 	396058 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,ME	: 	: 	: 	: 	9975 	54358 	36476 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,MK	: 	: 	45606 	45820 	40434 	1005624 	577462 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,MT	17253 	32000 	54719 	56676 	63112 	82875 	78390 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,NL	8449019 	8286731 	8844289 	8879065 	8437523 	8456592 	8393719 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,NO	2314275 	2656380 	2723099 	2611544 	3440196 	2762942 	2839212 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,PL	7571815 	8556055 	10288827 	11428952 	12630990 	13933574 	13562857 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,PT	5820392 	8997640 	4567611 	3302115 	3552836 	3968112 	4131308 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,RO	7227374 s	6382818 	4648461 	5284458 	5126758 	4804661 	5819169 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,RS	: 	: 	: 	148502 	269204 	378425 	813482 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,SE	9540390 	9701776 	9997684 	6339770 	5587346 	5440160 	6305862 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,SI	1350823 	1778818 	1410171 	942886 	952837 	1222752 	949641 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,SK	1169530 	1848295 	1984330 	1621620 	1644128 	1490982 	2261338 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,TR	3255441 	2350 	4017566 	2096047 	2605930 	2802733 	5220351 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,UK	41324899 	60187602 	56017616 	42105895 	41677745 	43429979 	43113943 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,XK	: 	: 	: 	: 	18450 	61383 	112639 
T,HAZ_NHAZ,TOTAL_HH,W077_08,AT	291453 	296478 	366986 	274888 	155612 	166174 	166752 
T,HAZ_NHAZ,TOTAL_HH,W077_08,BA	: 	: 	: 	: 	635 	: 	: 
