unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,MK	: 	: 	: 	0 	6357058 	1386 	2 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,MT	0 	0 	82 	1567 	10935 	9580 	11640 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,NL	344004 	359156 	1198902 	694202 	596589 	694469 	589923 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,NO	105564 	103795 	104301 	159541 	130309 	141612 	146349 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,PL	476050 	501340 	1151766 	2078042 	1650462 	1649265 	1901897 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,PT	282236 e	186815 	442825 	406563 	508328 	648202 	451391 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,RO	994 	137948 	153388 	164057 	337608 	239448 	433162 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,RS	: 	: 	: 	0 	0 	147365 	108843 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,SE	227967 	225188 e	798664 	246639 	235756 	239737 	232236 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,SI	6954 	5225 e	96723 	60951 	73789 	206559 	223784 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,SK	15740 	6432 	344723 	243333 	268678 	184572 	258571 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,TR	: 	: 	0 	: 	: 	: 	299296 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,UK	1543119 	1817830 e	1648499 	235678 	1214579 	1176144 	1207751 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,XK	: 	: 	: 	: 	0 	65 	14 
T,HAZ_NHAZ,E38,TOTAL,AT	1909201 	243143 	1836911 	3731736 	2430183 	1963019 	2126320 
T,HAZ_NHAZ,E38,TOTAL,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,E38,TOTAL,BE	6592523 e	14195064 e	10792826 e	11798508 	9774586 	11011243 	15256766 
T,HAZ_NHAZ,E38,TOTAL,BG	729531 	86645 	289039 	486364 	1022706 	846772 	1229892 
T,HAZ_NHAZ,E38,TOTAL,CY	15489 	4637 	181 	2497 	2570 	11111 	13341 
T,HAZ_NHAZ,E38,TOTAL,CZ	1462784 	2117005 	1801459 	2435539 	2494820 	2713467 	3427366 
T,HAZ_NHAZ,E38,TOTAL,DE	20568619 	27378662 	35044690 	34019137 	42447444 	46375503 	48647161 
T,HAZ_NHAZ,E38,TOTAL,DK	1873568 	1990355 	56341 	2971436 	1620779 	1856460 	1395687 
T,HAZ_NHAZ,E38,TOTAL,EE	177904 	270547 	312921 	248570 	536466 	477411 	629397 
T,HAZ_NHAZ,E38,TOTAL,EL	22923 	846306 	896308 	864270 	771150 	683980 	1687360 
T,HAZ_NHAZ,E38,TOTAL,ES	690191 	1742985 	2884749 	7718388 	11808783 	17254593 	18292633 
T,HAZ_NHAZ,E38,TOTAL,EU27_2020	77730000 	96910000 	104910000 	125460000 	143700000 	169870000 	187390000 
T,HAZ_NHAZ,E38,TOTAL,EU28	115150000 	124820000 	136580000 	143410000 	169560000 	203700000 	225790000 
T,HAZ_NHAZ,E38,TOTAL,FI	690659 	2240017 	795470 	2210944 	147438 	247383 	411588 
T,HAZ_NHAZ,E38,TOTAL,FR	11967290 	8664220 	8991350 	10650878 	14455555 	15882862 	16528792 
T,HAZ_NHAZ,E38,TOTAL,HR	1626470 	223754 	1641112 	1658975 	294859 	407696 	520553 
T,HAZ_NHAZ,E38,TOTAL,HU	1339961 e	1740947 e	706557 e	775418 	731970 	1639634 	1278486 
T,HAZ_NHAZ,E38,TOTAL,IE	139801 	78822 	: 	2984119 	1718694 	2559694 	1966150 
T,HAZ_NHAZ,E38,TOTAL,IS	0 	: 	: 	8722 	4595 	20987 	19445 
T,HAZ_NHAZ,E38,TOTAL,IT	11822278 	19165599 	19773004 	18273137 	27754121 	33631070 	34910761 
T,HAZ_NHAZ,E38,TOTAL,LI	: 	: 	130659 	21667 	0 	284 	90 
T,HAZ_NHAZ,E38,TOTAL,LT	681768 	300541 	183301 	168545 	250906 	567935 	961485 
T,HAZ_NHAZ,E38,TOTAL,LU	136627 	485523 	129100 	194415 	186381 	152051 	371026 
T,HAZ_NHAZ,E38,TOTAL,LV	2930 	39756 	25343 	44041 	198880 	229962 	246821 
T,HAZ_NHAZ,E38,TOTAL,ME	: 	: 	: 	: 	0 	9605 	79 
T,HAZ_NHAZ,E38,TOTAL,MK	: 	: 	: 	0 	2879 	785 	34 
T,HAZ_NHAZ,E38,TOTAL,MT	25485 	36552 	1256 	11748 	51394 	57157 	98969 
T,HAZ_NHAZ,E38,TOTAL,NL	7333686 	6909543 	6256488 	7116544 	6409545 	6397342 	6222434 
T,HAZ_NHAZ,E38,TOTAL,NO	184515 	696036 	566458 	679562 	256057 	705584 	679511 
T,HAZ_NHAZ,E38,TOTAL,PL	2496926 	3729533 	6475559 	11533989 	10355011 	15404854 	20025675 
T,HAZ_NHAZ,E38,TOTAL,PT	1169576 e	967492 e	1935373 	1447571 	1993549 	2430451 	2742913 
T,HAZ_NHAZ,E38,TOTAL,RO	996903 	243418 	553337 	879695 	1956645 	1556795 	1342111 
T,HAZ_NHAZ,E38,TOTAL,RS	: 	: 	: 	0 	0 	8852 	351818 
T,HAZ_NHAZ,E38,TOTAL,SE	2797713 	2821775 	3054476 	2706792 	3718966 	4210241 	6190078 
T,HAZ_NHAZ,E38,TOTAL,SI	47486 	42622 	28968 	37355 	163598 	498065 	170715 
T,HAZ_NHAZ,E38,TOTAL,SK	411145 	347061 	448054 	491530 	401890 	803618 	699184 
T,HAZ_NHAZ,E38,TOTAL,TR	: 	: 	0 	: 	: 	: 	: 
T,HAZ_NHAZ,E38,TOTAL,UK	37419389 	27908224 	31666855 	17948992 	25865908 	33828956 	38396105 
T,HAZ_NHAZ,E38,TOTAL,XK	: 	: 	: 	: 	4062 	1841 	97541 
T,HAZ_NHAZ,EP_HH,TOTAL,AT	3441041 	3711839 	3819277 	4622626 	4020113 	4170023 	4268278 
T,HAZ_NHAZ,EP_HH,TOTAL,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,TOTAL,BE	5325207 e	4745161 e	4459161 	5862032 	5294743 	5419042 	5041207 
T,HAZ_NHAZ,EP_HH,TOTAL,BG	2633592 	2928981 	2907121 	3529458 	2754523 	2683016 	2840316 
T,HAZ_NHAZ,EP_HH,TOTAL,CY	367353 	356520 	432858 	461227 	369586 	323859 	394911 
T,HAZ_NHAZ,EP_HH,TOTAL,CZ	2841428 	3482017 	3176176 	3334240 	3232642 	3260580 	3579613 
T,HAZ_NHAZ,EP_HH,TOTAL,DE	38007849 	34626019 	35754996 	36311611 	36471810 	36887634 	37409896 
T,HAZ_NHAZ,EP_HH,TOTAL,DK	2016209 	2069635 	2514155 	3550267 	3332998 	3580549 	3480305 
T,HAZ_NHAZ,EP_HH,TOTAL,EE	401989 	411633 	439973 	430499 	436420 	482244 	429882 
T,HAZ_NHAZ,EP_HH,TOTAL,EL	4212962 s	4132645 	3954486 	5197519 	4859163 	4508249 	4788304 
T,HAZ_NHAZ,EP_HH,TOTAL,ES	24409990 	24078307 	24431321 	23198185 	21224354 	20159648 	21689437 
T,HAZ_NHAZ,EP_HH,TOTAL,EU27_2020	179960000 	183070000 	188040000 	192000000 	186000000 	180780000 	187400000 
T,HAZ_NHAZ,EP_HH,TOTAL,EU28	210970000 	215540000 	219580000 	219390000 	212420000 	207570000 	214700000 
